"organization","isin","bbid","ticker","country_hq"
"British American Tobacco","GB0002875804","EQ0034991400001000","BATS LN","United Kingdom"
"Brown-Forman Corporation","US1156372096","EQ0010023700003000","BF/B US","USA"
"Bundy",,,,"India"
"Bunge","BMG169621056","EQ0175155700001000","BG US","USA"
"BWI Group",,,,"China"
"BYD","CNE100000296","EQ0000000000247028","1211 HK","China"
"CALIX AUTOMOTIVE AB.",,,,"Sweden"
"Campbell Soup Company","US1344291091","EQ0010026400001000","CPB US","USA"
"Canadian National Railway Company","CA1363751027","EQ0017955100001000","CNR CN","Canada"
"Canon Inc.","JP3242800005","EQ0011338900001000","7751 JP","Japan"
"Caparo",,,,"India"
"Caress Beauty",,,,"India"
"Cargill","US1417810058","EQ0013699100001000",,"USA"
"Carli Electronics co., LTD.",,,,"China"
"Carnival Corporation","PA1436583006","EQ0010027300002000","CCL US","United Kingdom"
"CASALASCO - Fontanellato",,,,"Italy"
"Catalent Pharma Solutions",,,,"USA"
"Catalyst Paper Corporation","CA14888T1049","EQ0010920500002000",,"Canada"
"CBT Technology",,,,"USA"
"CCL Industries","CA1249002009","EQ0010872600002000","CCL/A CN","Canada"
"CE (CETARSA)",,,,"Spain"
"Celestica Inc.","CA15101Q1081","EQ0034926600001001","CLS CN","Canada"
"Celgene Corporation","US1510201049","EQ0010280600001000","CELG US","USA"
"Cenovus Energy Inc.","CA15135U1093","EQ0000000006200087","CVE CN","Canada"
"Centrica","GB00B033F229","EQ0021620400001000","CNA LN","United Kingdom"
"CHANGWON CO LTD",,,,"South Korea"
"Chaun-Choung Technology Corp","TW0006230006","EQ0000000000154980","6230 TT","Taiwan"
"Chemex Detergent",,,,"India"
"Chesapeake",,,,"Luxembourg"
"Chicony Power Technology Co.,Ltd.",,,,"China"
"China Agri-Industries Holdings Ltd","HK0606037437","EQ0000000002956727","606 HK","China"
"China Steel","TW0002002003","EQ0011583100001000","2002 TT","Taiwan"
"CICOR TECHNOLOGIES","CH0008702190","EQ0032808300002000","CICN SW","Indonesia"
"CIE Automotive","ES0105630315","EQ0015323500001000","CIE SM","Spain"
"CIP4 SpA",,,,"Italy"
"Cisco Systems, Inc.","US17275R1023","EQ0010171100001000","CSCO US","USA"
"CJ Cheiljedang","KR7097950000","EQ0000000003787787","097950 KS","South Korea"
"Clariant International Ltd","CH0012142631","EQ0016232600002000","CLN VX","Switzerland"
"CLONDALKIN",,,,"USA"
"Clorox Company","US1890541097","EQ0010034500001000","CLX US","USA"
"Coca-Cola Enterprises, Inc.","US19122T1097","EQ0010035400001000","CCE US","USA"
"Coca-Cola HBC AG","CH0198251305","EQ0000000027050855","CCH LN","Switzerland"
"COCA-COLA İÇECEK A.Ş.","TRECOLA00011","EQ0000000001135757","CCOLA TI","Turkey"
"Colgate Palmolive Company","US1941621039","EQ0010035900001000","CL US","USA"
"Compagnie Financière Richemont SA","CH0210483332","EQ0011789600001000","CFR VX","Switzerland"
"Compania Espanola De Petroleos S.A (CEPSA)","ES0132580319","EQ0011900900001000",,"Spain"
"COMPEQ MANUFACTURING CO., LTD",,,,"Taiwan"
"ConAgra Foods, Inc.","US2058871029","EQ0010037700001000","CAG US","USA"
"Concurrent Manufacturing",,,,"USA"
"Connor Winfield",,,,"USA"
"ConocoPhillips","US20825C1045","EQ0010117400001000","COP US","USA"
"CONSOL Energy Inc.","US20854P1093","EQ0031998900001000","CNX US","USA"
"Constellation Brands, Inc.","US21036P1084","EQ0010784300002000","STZ US","USA"
"Constellium",,,,"France"
"Conti Paraguay",,,,"Paraguay"
"Cooler Masterco.,Ltd.",,,,"China"
"Coretronic Corporation","TW0005371009","EQ0081235000001000","5371 TT","Taiwan"
"Cosmetic Laboratories of America",,,,"USA"
"Cosmint",,,,"Italy"
"Covidien Ltd.","IE00B68SQD29","EQ0000000003339617","COV US","Ireland"
"CREATIVE FOAM CORP",,,,"USA"
"Crescent Point Energy Corporation","CA22576C1014","EQ0000000000738635","CPG CN","Canada"
"CRH Plc","IE0001827041","EQ0011143500001000","CRH ID","Ireland"
"Croda International","GB0002335270","EQ0011143600001000","CRDA LN","United Kingdom"
"CSL","AU000000CSL8","EQ0013581100001000","CSL AU","Australia"
"CSX Corporation","US1264081035","EQ0010041500001000","CSX US","USA"
"Cummins Inc.","US2310211063","EQ0010041900001000","CMI US","USA"
"CVS Health","US1266501006","EQ0010097600001000","CVS US","USA"
"CYGNUS CORPORATION",,,,"USA"
"Cypress Semiconductor Corporation","US2328061096","EQ0010042400001000","CY US","USA"
"DAEYEETECH CO LTD",,,,"South Korea"
"Daikin Industries, Ltd.","JP3481800005","EQ0011349200001000","6367 JP","Japan"
"Dailycer",,,,"France"
"Dainippon Sumitomo Pharma Co., Ltd.","JP3495000006","EQ0011350200001000","4506 JP","Japan"
"Darden Restaurants, Inc.","US2371941053","EQ0017016500001000","DRI US","USA"
"Darfon Electronics Corp",,,,"Taiwan"
"Deere & Company","US2441991054","EQ0010043800001000","DE US","USA"
"Dell Inc.","US24702R1014","EQ0010171800001000",,"USA"
"Delphi Automotive Plc","JE00B783TY65","EQ0000000017551645","DLPH US","USA"
"Detroit Thermal Systems",,,,"USA"
"Devon Energy Corporation","US25179M1036","EQ0082374800001000","DVN US","USA"
"DH KOREA CO LTD",,,,"South Korea"
"Diageo Plc","GB0002374006","EQ0011168000001000","DGE LN","United Kingdom"
"Diamond Electric",,,,"USA"
"Dicopack S.A.",,,,"Argentina"
"Distell Group Ltd","ZAE000028668","EQ0013028300001000","DST SJ","South Africa"
"Dominion Resources, Inc.","US25746U1097","EQ0010046600001000","D US","USA"
"DONGGUAN PRIMAX ELECTRONIC & TELECOMMUNICATION PRODUCTS LTD",,,,"China"
"DPE AUTOMOTIVE LTD",,,,"United Kingdom"
"Dreem",,,,"Egypt"
"DS Smith Plc","GB0008220112","EQ0011228600001000","SMDS LN","United Kingdom"
"DTE Energy Company","US2333311072","EQ0096432600001000","DTE US","USA"
"Duratex S/A","BRDTEXACNOR3","EQ0000000003873133","DTEX3 BZ","Brazil"
"Eastman Chemical Company","US2774321002","EQ0012674700001000","EMN US","USA"
"Eaton Corporation","IE00B8KQN827","EQ0010049600001000","ETN US","USA"
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA"
"Ecopetrol Sa","COC04PA00016","EQ0000000003163888","ECOPETL CB","Colombia"
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France"
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal"
"E.I. du Pont de Nemours and Company","US2635341090","EQ0010047900001000","DD US","USA"
"Eisenwerk Brühl GmbH",,,,"Germany"
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA"
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA"
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA"
"Emirates Wet Wipes",,,,"United Arab Emirates"
"EMI Stop",,,,"China"
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile"
"EMULEX CORP",,,,"USA"
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada"
"Encana Corporation","CA2925051047","EQ0011017800001000","ECA CN","Canada"
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain"
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy"
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada"
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA"
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA"
"E.ON SE","DE000ENAG999","EQ0011576100001000","EOAN GR","Germany"
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India"
"Essentra","GB00B0744359","EQ0000000001760430","ESNT LN","United Kingdom"
"ETI SODA",,,,"Turkey"
"Evonik Industries AG","DE000EVNK013","EQ0000000031009802","EVKIF US","Germany"
"EXEDY Corporation","JP3161160001","EQ0011349300001000","7278 JP","Japan"
"Exelon Corporation","US30161N1019","EQ0010117000001000","EXC US","USA"
"Exxaro Resources Ltd","ZAE000084992","EQ0756781700001000","EXX SJ","South Africa"
"Exxon Mobil Corporation","US30231G1022","EQ0010054600001000","XOM US","USA"
"Fairchild Semiconductor","US3037261035","EQ0023133700001000","FCS US","USA"
"Famar S.A",,,,"Greece"
"Favori Saray",,,,"Turkey"
"FCC (Adams) LLC",,,,"USA"
"FCI",,,,"Singapore"
"Feng Chuan Electronics Co. Ltd",,,,"China"
"FIAMM",,,,"USA"
"Ficosa",,,,"Portugal"
"Fidelity National Information Services","US31620M1062","EQ0734252200001000","FIS US","USA"
"FIRMENICH SA",,"EQ0000000011756201","PRIV","Switzerland"
"Fiskeby",,,,"Sweden"
"Flextronics International","SG9999000020","EQ0013654700001000","FLEX US","USA"
"Fluor Corporation","US3434121022","EQ0118470600001000","FLR US","USA"
"Ford Motor Company","US3453708600","EQ0010060200001000","F US","USA"
"Fortescue Metals Group","AU000000FMG4","EQ0015369300001000","FMG AU","Australia"
"Foster",,,,"Japan"
"Freeport-McMoRan Copper & Gold Inc.","US35671D8570","EQ0010061400003000","FCX US","USA"
"Fresnillo plc","GB00B2QPKJ12","EQ0000000006054873","FRES LN","Mexico"
"Friesland Campina",,,,"Netherlands"
"Fujitsu Ltd.","JP3818000006","EQ0011361400001000","6702 JP","Japan"
"Fuji Xerox Co., Ltd.",,"EQ0034954300001000",,"Japan"
"Galaxy Surfactants Ltd.",,,,"India"
"Gamsan",,,,"Turkey"
"Gap Inc.","US3647601083","EQ0010062500001000","GPS US","USA"
"Gas Natural SDG SA","ES0116870314","EQ0012711100001000","GAS SM","Spain"
"Gazprom OAO","RU0007661625","EQ0000000029054107","GAZP RM","Russia"
"GDF Suez","FR0010208488","EQ0015607000001000","GSZ FP","France"
"General Electric Company","US3696041033","EQ0010063200001000","GE US","USA"
"General Mills Inc.","US3703341046","EQ0010063600001000","GIS US","USA"
"General Motors Company","US37045V1008","EQ0000000008690631","GM US","USA"
"Georg Fischer","CH0001752309","EQ0011570400002000","FI/N SW","Switzerland"
"Gestamp",,"EQ0000000001456678",,"Spain"
"GETRAG",,,,"Germany"
"GHSP INC",,,,"USA"
"Giant Food Int'l Co",,,,"China"
"GIGA-BYTE TECHNOLOGY CO.,LTD","SCGIGA14970",,,"Taiwan"
"Givaudan SA","CH0010645932","EQ0119743700001000","GIVN VX","Switzerland"
"GKN","GB0030646508","EQ0011164100001000","GKN LN","United Kingdom"
"GlaxoSmithKline","GB0009252882","EQ0145645000001000","GSK LN","United Kingdom"
"GLEASON S.A. DE C.V.",,,,"Mexico"
"GNS CO LTD",,,,"South Korea"
"Goldcorp Inc.","CA3809564097","EQ0010930100002000","G CN","Canada"
"Gold Fields Limited","ZAE000018123","EQ0010344300001002","GFI SJ","South Africa"
"GONHER DE MEXICO S.A DE C.V.",,,,"Mexico"
"Goodyear Tire & Rubber Company","US3825501014","EQ0010066800001000","GT US","USA"
"Graham Packaging",,,,"USA"
"Grupo Antolin Irausa SA",,,,"Spain"
"Grupo Carso S.A.","MXP461181085","EQ0011665900001000","GCARSOA1 MM","Mexico"
"GRUPO PROEZA SA DE CV",,,,"Mexico"
"Grupo Televisa S.A.","MXP4987V1378","EQ0011756800004000","TLEVICPO MM","Mexico"
"GS Yuasa Corporation","JP3385820000","EQ0000000000995388","6674 JP","Japan"
"GUARDIAN INDUSTRIES CORP",,,,"USA"
"GULF CENTRE FOR SOAP AND CHEMICAL",,,,"United Arab Emirates"
"HALEY INDUSTRIES LLC",,,,"USA"
"Halliburton Company","US4062161017","EQ0010069800001000","HAL US","USA"
"Hankook Tire Co Ltd","KR7161390000","EQ0000000023715516","161390 KS","South Korea"
"HannStar Board Tech. (Jiangyin) Corp","KYG4280A1031","EQ0000000002845675","667 HK","China"
"Hansol Paper Co., Ltd.","KR7004150009","EQ0011759000001000","004150 KS","South Korea"
"HARVEST LAND CO-OP, INC.",,,,"USA"
"HCL Technologies","INE860A01027","EQ0099567100001000","HCLT IN","India"
"HEIDTMAN STEEL PRODUCTS INC",,,,"USA"
"Heineken NV","NL0000009165","EQ0011571500001000","HEIA NA","Netherlands"
"Herbal Concepts Health Care Pvt Ltd",,,,"India"
"Herdmans South Africa (Pty) Ltd",,,"NOT FOUND","South Africa"
"Hess Corporation","US42809H1077","EQ0010007800001000","HES US","USA"
"Hewlett-Packard","US4282361033","EQ0010073200001000","HPQ US","USA"
"HIERROS DE LEVANTE SA",,,,"Spain"
"HIHO METAL JAPAN",,,,"Korea"
"Hindustan Construction Company","INE549A01026","EQ0017450800001000","HCC IN","India"
"HI-P INTERNATIONAL LIMITED",,,,"China"
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan"
"Hitachi LG Data Storage, Inc.",,,,"Korea"
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan"
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan"
"Hi-Tech Surfactants Ltd",,,,"India"
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong"
"HMA INC.",,,,"China"
"H&M Hennes & Mauritz AB","SE0000106270","EQ0011760100003000","HMB SS","Sweden"
"Hoffmann Neopac AG",,,,"Switzerland"
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden"
"Honeywell International Inc.","US4385161066","EQ0010004300001000","HON US","USA"
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa"
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA"
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China"
"HP Pelzer Holding GmbH",,,,"Belgium"
"HudBay Minerals Inc.","CA4436281022","EQ0017904800001000","HBM CN","Canada"
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China"
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada"
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain"
"IBERICA DE SUSPENSIONES S.L.",,,,"Spain"
"IHI Corporation","JP3134800006","EQ0011379600001000","7013 JP","Japan"
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa"
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa"
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa"
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom"
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia"
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain"
"INDUCONTROL S. A. DE C. V.",,,,"Mexico"
"Inergy Automotive Systems",,,,"Japan"
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda"
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan"
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico"
"Innovative Logistics",,,,"USA"
"Integrated Device Technology, Inc.","US4581181066","EQ0010459900001000","IDTI US","USA"
"Intel Corporation","US4581401001","EQ0010172900001000","INTC US","USA"
"Intercontinental Oils & Fats Pte. Ltd",,,,"Singapore"
"International Business Machines (IBM)","US4592001014","EQ0010080100001000","IBM US","USA"
"International Rectifier","US4602541058","EQ0010080800001000","IRF US","USA"
"INTERNATIONAL TOILETRIES COMPANY LTD",,,,"Japan"
"Inventec Co Ltd","TW0002356003","EQ0019371200001000","2356 TT","Taiwan"
"IPF-Vikram India Ltd",,,,"India"
"IRIS",,,,"China"
"ISL AUTOMOTIVE GMBH",,,,"Germany"
"Israel Chemicals","IL0002810146","EQ0013563700001000","ICL IT","Israel"
"IS TECH CO LTD",,,,"South Korea"
"ITAESBRA INDUSTRIA MECANICA LTDA",,,,"Brazil"
"ITC Limited","INE154A01025","EQ0012618300001000","ITC IN","India"
"JAC PRODUCTS INC. FRANKLIN ALUMINUM",,,,"USA"
"Jaguar Land Rover Ltd",,"EQ0000000017433605","8291453ZLN","United Kingdom"
"JBM AUTO SYSTEMS PVT. LTD.",,,,"India"
"JDS Uniphase Corp.","US46612J5074","EQ0012630200001000","JDSU US","USA"
"JIANGYIN CHENGXING HOUSEHOLD CHEMIC",,,,"China"
"Jintung",,,,"China"
"Jitender Flour Mills",,,,"India"
"Johnson & Johnson","US4781601046","EQ0010082800001000","JNJ US","USA"
"Johnson Matthey","GB00B70FPS60","EQ0011181000001000","JMAT LN","United Kingdom"
"Joy Technology (Shenzen) Corp.",,,,"Taiwan"
"J. Rettenmaier USA LP",,,,"USA"
"JSW Steel","INE019A01020","EQ0017012000001000","JSTL IN","India"
"Kahan",,,,"Israel"
"KAO Corporation","JP3205800000","EQ0011390900001000","4452 JP","Japan"
"Kaslink",,,,"Finland"
"Kato Prestige",,,,"Egypt"
"Kellogg Company","US4878361082","EQ0010084300001000","K US","USA"
"Kemin Nutrisurance Inc.",,,,"USA"
"Kemira Corporation","FI0009004824","EQ0012532000001000","KRA1V FH","Finland"
"KENWAL STEEL CORP",,,,"USA"
"Kering","FR0000121485","EQ0011546700001000","KER FP","France"
"Key Safety Systems, Inc.",,,,"USA"
"KIK Custom Products",,,,"USA"
"Kimberly-Clark Corporation","US4943681035","EQ0010085300001000","KMB US","USA"
"KIM PRINTING (XIAMEN) CO., LTD",,,,"China"
"Kingbright",,,,"Taiwan"
"Kingston Technology",,,,"USA"
"KINUGAWA RUBBER INDUSTRIAL LTD",,,,"Japan"
"Kirin Holdings Co Ltd","JP3258000003","EQ0011397000001000","2503 JP","Japan"
"KIRIU CORPORATION",,,,"Japan"
"Klabin S/A","BRKLBNACNPR9","EQ0015882600002000","KLBN4 BZ","Brazil"
"KM&I",,,,"Korea"
"KNOWLTON PACKAGING INC",,,,"Canada"
"KOJIN CO. LTD.",,,,"Japan"
"Komatsu Ltd.","JP3304200003","EQ0011400900001000","6301 JP","Japan"
"Kompak",,,,"Netherlands"
"Konica Minolta, Inc.","JP3300600008","EQ0011401400001000","4902 JP","Japan"
"Koninklijke DSM","NL0000009827","EQ0011571000001000","DSM NA","Netherlands"
"Kontron AG","DE0006053952","EQ0082806300001000","KBC GR","Germany"
"KOREA DELPHI AUTOMOTIVE SYS CORP",,,,"Korea"
"Kostal Group",,,,"United Kingdom"
"KPMG International",,,,"Switzerland"
"KSPG AG",,,,"USA"
"Kuehne + Nagel International AG","CH0025238863","EQ0000000004552161","KNIN VX","Switzerland"
"Kumba Iron Ore","ZAE000085346","EQ0000000002835322","KIO SJ","South Africa"
"KUNSTSTOFF-TECHNIK SCHERER & TRIER GMBH & CO KG",,,,"Germany"
"Kupinskoe Morozhenoe",,,,"Russia"
"KURASHIKI KAKO CO. LTD.",,,,"Japan"
"Lab. Deterplus S.R.L.",,,"NOT FOUND","Argentina"
"Lacrem",,,,"Spain"
"Lafarge S.A.","FR0000120537","EQ0011542000001000","LG FP","France"
"Lake Country Foods",,,,"USA"
"La Rondine",,,,"Brazil"
"Layne Christensen Company","US5210501046","EQ0010500700001000","LAYN US","USA"
"Leader Electronics Inc.",,,,"Taiwan"
"Lexmark International, Inc.","US5297711070","EQ0017126000001000","LXK US","USA"
"LF beauty",,,,"United Kingdom"
"LG Chem","KR7051910008","EQ0728185500001000","051910 KS","South Korea"
"LIX DETERGENT JSC",,,,"Vietnam"
"LKW Walter International",,,,"Austria"
"Lockheed Martin Corporation","US5398301094","EQ0015692300001000","LMT US","USA"
"Logitech International SA","CH0025751329","EQ0000000004552177","LOGN SW","Switzerland"
"Lonza Group AG","CH0013841017","EQ0015627600001000","LONN VX","Switzerland"
"L'Oréal","FR0000120321","EQ0011541400001000","OR FP","France"
"Lusomedicamenta",,,,"Portugal"
"LVMH","FR0000121014","EQ0011542800001000","MC FP","France"
"Lynas Corporation","AU000000LYC6","EQ0013588300001000","LYC AU","Australia"
"MACANDREWS & FORBES HOLDINGS",,,,"USA"
"Magna International Inc.","CA5592224011","EQ0010980600002000","MG CN","Canada"
"Mahindra Lifespace Developers Limited","INE813A01018","EQ0145605400001000","MLIFE IN","India"
"Mahindra & Mahindra","INE101A01026","EQ0013003600001000","MM IN","India"
"Mahindra Sanyo Special Steel Pvt. Ltd",,"EQ0000000030572224","0821582D IN","India"
"Manufactura Moderna de Metales",,,,"Spain"
"Marfrig Alimentos S.A.","BRMRFGACNOR0","EQ0000000003470565","MRFG3 BZ","Brazil"
"Marriott International, Inc.","US5719032022","EQ0031367300002000","MAR US","USA"
"Martin Bauer GmbH",,,,"Germany"
"MARTINREA INTERNATIONAL INC.","CA5734591046","EQ0018786800001000","MRE CN","Canada"
"MARUI INDUSTRIAL CO. LTD.",,,,"Japan"
"Marvell Technology Group, Ltd.","BMG5876H1051","EQ0117905100001000","MRVL US","USA"
"Maxion Wheels",,,,"USA"
"Maxxis International",,,,"Taiwan"
"Mayr-Melnhof Karton Aktiengesellschaft","AT0000938204","EQ0013574000001000","MMK AV","Austria"
"Mazda Motor Corporation","JP3868400007","EQ0011411600001000","7261 JP","Japan"
"McBride plc","GB0005746358","EQ0017059800001000","MCB LN","United Kingdom"
"McCormick & Company, Incorporated","US5797802064","EQ0010173900001000","MKC US","USA"
"MDR",,,,"Indonesia"
"Mead Johnson Nutrition Company","US5828391061","EQ0000000005915975","MJN US","USA"
"Mediclinic International","ZAE000074142","EQ0013044800001000","MDC SJ","South Africa"
