"company_name","account_number","country","reporting_year","ticker_symbol","isin","disclosure_score","performance_band","parent_account","permission","response_status","scope_1_metric_tonnes_co2e","scope_2_metric_tonnes_co2e","country_location"
"Cia. Siderurgica Nacional - CSN","3287","Brazil","2011","CSNA3 BZ","BRCSNAACNOR6","61","E",,"Public","AQ*","10621377","570984","(-14.235004, -51.92528)"
"Dongfeng Motor Group","22114","China","2011","489 HK","CNE100000312",,,,"Not public","DP",,,"(35.86166, 104.195397)"
"HDFC Bank Ltd","8167","India","2011","HDFCB IN","INE040A01026","55","D","Housing Development Finance Corporation","Public","AQ*","29724","209816","(20.593684, 78.96288)"
"E.ON SE","5108","Germany","2011","EOAN GR","DE000ENAG999","80","B",,"Public","AQ*","126884620","5441394","(51.165691, 10.451526)"
"VTB Bank","20356","Russia","2011","VTBR RU","RU000A0JP5V6",,,,,"NR",,,"(61.52401, 105.318756)"
"AKBANK T.A.Ş.","449","Turkey","2011","AKBNK TI","TRAAKBNK91N6","72","C",,"Not public","AQ*",,,"(38.963745, 35.243322)"
"Vodafone Group","20316","United Kingdom","2011","VOD LN","GB00B16GWD56","81","B",,"Public","AQ*","414121","1911342","(55.378051, -3.435973)"
"Repsol","15669","Spain","2011","REP SM","ES0173516115","89","B",,"Public","AQ*","23380302","2058465","(40.463667, -3.74922)"
"Southern Copper Corporation","17435","Peru","2011","SCCO PE","US84265V1052",,,,,"NR",,,"(-9.189967, -75.015152)"
"Philip Morris International","14712","USA","2011","PM US","US7181721090","83","B",,"Public","AQ*","355789","412984","(37.09024, -95.712891)"
"QBE Insurance Group","15366","Australia","2011","QBE AU","AU000000QBE9","47",,,"Public","AQ*","1268","36143","(-25.274398, 133.775136)"
"Danske Bank A/S","4312","Denmark","2011","DANSKE DC","DK0010274414","66","E",,"Public","AQ*","4402","37254","(56.26392, 9.501785)"
"Amazon.com Inc.","658","USA","2011","AMZN US","US0231351067",,,,,"NR",,,"(37.09024, -95.712891)"
"Bank of Communications","1454","China","2011","3328 HK","CNE100000205",,,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Sumitomo Mitsui Financial Group","17899","Japan","2011","8316 JP","JP3890350006","46",,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Kering","14930","France","2011","KER FP","FR0000121485","64","C",,"Public","AQ*","42612","155180","(46.227638, 2.213749)"
"Exelon Corporation","6113","USA","2011","EXC US","US30161N1019","79","C",,"Public","AQ*","9245696","276678","(37.09024, -95.712891)"
"Novartis","13524","Switzerland","2011","NOVN VX","CH0012005267","94","A",,"Public","AQ*","587269","926328","(46.818188, 8.227512)"
"Standard Bank Group","17637","South Africa","2011","SBK SJ","ZAE000109815","74","C",,"Public","AQ*","11195","149366","(-30.559482, 22.937506)"
"The Travelers Companies, Inc.","19377","USA","2011","TRV US","US89417E1091","60","D",,"Public","AQ*","37084","51388","(37.09024, -95.712891)"
"Altria Group, Inc.","628","USA","2011","MO US","US02209S1033","67","C",,"Public","AQ*","273437","251194","(37.09024, -95.712891)"
"Housing Development Finance Corporation","8594","India","2011","HDFC IN","INE001A01036",,,,,"NR",,,"(20.593684, 78.96288)"
"Firstrand Limited","6436","South Africa","2011","FSR SJ","ZAE000066304","88","B",,"Public","AQ*","12219.75","309008.49","(-30.559482, 22.937506)"
"Raytheon Company","15541","USA","2011","RTN US","US7551115071","71","C",,"Public","AQ*","98909","503967","(37.09024, -95.712891)"
"Industrial And Commercial Bank Of China Limited","9039","China","2011","601398 CH","CNE000001P37","10",,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Empresas COPEC S.A.","3283","Chile","2011","COPEC CI","CLP7847L1080",,,,,"NR",,,"(-35.675147, -71.542969)"
"Shin-Etsu Chemical Co., Ltd.","16839","Japan","2011","4063 JP","JP3371200001","24",,,"Public","AQ*","1373700","2463810","(36.204824, 138.252924)"
"National Australia Bank","12798","Australia","2011","NAB AU","AU000000NAB4","91","A",,"Public","AQ*","22084","186479","(-25.274398, 133.775136)"
"Westfield Group","20629","Australia","2011","WDC AU","AU000000WDC7","74","C",,"Public","AQ*","30975","482582","(-25.274398, 133.775136)"
"Kyocera Corporation","10375","Japan","2011","6971 JP","JP3249600002","65","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Korea Electric Power Corporation","10268","South Korea","2011","015760 KS","KR7015760002",,,,"Not public","DP",,,"(35.907757, 127.766922)"
"Canadian National Railway Company","2656","Canada","2011","CNR CN","CA1363751027","82","B",,"Public","AQ*","4584604","194268","(56.130366, -106.346771)"
"Hitachi, Ltd.","8338","Japan","2011","6501 JP","JP3788600009","88","C",,"Public","AQ*","932098","3787696","(36.204824, 138.252924)"
"Sysco Corporation","18155","USA","2011","SYY US","US8718291078",,,,,"NR",,,"(37.09024, -95.712891)"
"WellPoint, Inc.","20595","USA","2011","WLP US","US94973V1070","66","D",,"Public","AQ*","7151","152720","(37.09024, -95.712891)"
"Imperial Tobacco Group","8884","United Kingdom","2011","IMT LN","GB0004544929","71","D",,"Public","AQ*","112299","154245","(55.378051, -3.435973)"
"Komatsu Ltd.","10239","Japan","2011","6301 JP","JP3304200003","74","C",,"Public","AQ*","167900","393400","(36.204824, 138.252924)"
"Sime Darby Bhd","17053","Malaysia","2011","SIME MK","MYL4197OO009",,,,"Not public","DP",,,"(4.210484, 101.975766)"
"LVMH","11063","France","2011","MC FP","FR0000121014","64","C",,"Public","AQ*","43100","261682","(46.227638, 2.213749)"
"BlackBerry Limited","15673","Canada","2011","BB CN","CA09228F1036","47",,,"Public","AQ*","13688","50180","(56.130366, -106.346771)"
"Xstrata","20903","Switzerland","2011","XTA LN","GB0031411001","75","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Banco do Brasil S/A","1405","Brazil","2011","BBAS3 BZ","BRBBASACNOR3","54","E",,"Public","AQ*","6071","29767","(-14.235004, -51.92528)"
"Taiwan Semiconductor Manufacturing","18280","Taiwan","2011","2330 TT","TW0002330008","83","B",,"Public","AQ*","1836591","2590554","(23.69781, 120.960515)"
"Teva Pharmaceutical Industries Ltd","18586","Israel","2011","TEVA IT","IL0006290147","59","E",,"Public","AQ*","193603.09","501838.66","(31.046051, 34.851612)"
"Twenty-First Century Fox","13126","USA","2011","FOXA US",,"93","A-",,"Public","AQ*","81791","456473","(37.09024, -95.712891)"
"China Unicom","3248","Hong Kong","2011","762 HK","HK0000049939",,,,,"NR",,,"(22.396428, 114.109497)"
"BCE Inc.","1616","Canada","2011","BCE CN","CA05534B7604","74","C",,"Public","AQ*","93132","141397","(56.130366, -106.346771)"
"Banco Santander","1441","Spain","2011","SAN SM","ES0113900J37","85","C",,"Public","AQ*","29882.19","423560","(40.463667, -3.74922)"
"Royal Dutch Shell","16012","Netherlands","2011","RDSA NA","GB00B03MLX29","90","A-",,"Public","AQ*","75000000","10000000","(52.132633, 5.291266)"
"Manulife Financial Corp.","11332","Canada","2011","MFC CN","CA56501R1064","47",,,"Not public","AQ*",,,"(56.130366, -106.346771)"
"BT Group","2377","United Kingdom","2011","BT/A LN","GB0030913577","84","B",,"Public","AQ*","204497","1470086","(55.378051, -3.435973)"
"Accenture","21318","Ireland","2011","ACN US","IE00B4BNMY34","93","B",,"Public","AQ*","14270","198329","(53.41291, -8.24389)"
"L'Oréal","10389","France","2011","OR FP","FR0000120321","57","C",,"Public","AQ*","79938","115078","(46.227638, 2.213749)"
"Honeywell International Inc.","8553","USA","2011","HON US","US4385161066",,,,"Not public","IN",,,"(37.09024, -95.712891)"
"Encana Corporation","5569","Canada","2011","ECA CN","CA2925051047","72","C",,"Public","AQ*","5242617","599281","(56.130366, -106.346771)"
"FujiFilm Holdings Corporation","6862","Japan","2011","4901 JP","JP3814000000","62","E",,"Public","AQ*","793333","522432","(36.204824, 138.252924)"
"Wipro","20757","India","2011","WPRO IN","INE075A01022","68","D",,"Public","AQ*","63785","284521","(20.593684, 78.96288)"
"Christian Dior","3280","France","2011","CDI FP","FR0000130403","39",,,"Not public","AQ*",,,"(46.227638, 2.213749)"
"Monsanto Company","12330","USA","2011","MON US","US61166W1018","38",,,"Public","AQ*","1153800","661900","(37.09024, -95.712891)"
"Oversea-Chinese Banking","21402","Singapore","2011","OCBC SP","SG1S04926220",,,,,"NR",,,"(1.352083, 103.819836)"
"Intel Corporation","9298","USA","2011","INTC US","US4581401001","66","C",,"Public","AQ*","1165284","1712724","(37.09024, -95.712891)"
"MetLife, Inc.","11796","USA","2011","MET US","US59156R1086","33",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"AXA Group","1287","France","2011","CS FP","FR0000120628","92","A",,"Public","AQ*","68554","177147","(46.227638, 2.213749)"
"Alcon","21350","Switzerland","2011","ACL US","CH0013826497",,,"Nestlé",,"SA",,,"(46.818188, 8.227512)"
"BNY Mellon","1464","USA","2011","BK US","US0640581007","81","B",,"Public","AQ*","9474","202096","(37.09024, -95.712891)"
"Deutsche Telekom AG","4667","Germany","2011","DTE GR","DE0005557508","79","C",,"Public","AQ*","391152","3093352","(51.165691, 10.451526)"
"Swiss Re","18114","Switzerland","2011","SREN VX","CH0126881561","91","A",,"Public","AQ*","5190","16531","(46.818188, 8.227512)"
"Volvo","20273","Sweden","2011","VOLVB SS","SE0000115446","57","D",,"Not public","AQ*",,,"(60.128161, 18.643501)"
"Unilever plc","19829","United Kingdom","2011","ULVR LN","GB00B10RZP78","79","B",,"Public","AQ*","1125515","1473643","(55.378051, -3.435973)"
"Imperial Oil","8886","Canada","2011","IMO CN","CA4530384086","59","C",,"Public","AQ*","10149000","1368000","(56.130366, -106.346771)"
"PepsiCo, Inc.","14605","USA","2011","PEP US","US7134481081","90","A-",,"Public","AQ*","4006160","2042065","(37.09024, -95.712891)"
"Takeda Pharmaceutical Company Limited","18316","Japan","2011","4502 JP","JP3463000004","63","B",,"Public","AQ*","147880","146729","(36.204824, 138.252924)"
"Hon Hai Precision Industry","21422","Taiwan","2011","2317 TT","TW0002317005",,,"Foxconn International Holdings",,"SA",,,"(23.69781, 120.960515)"
"Canadian Natural Resources Limited","2667","Canada","2011","CNQ CN","CA1363851017","36",,,"Public","AQ*","16892972","1317386","(56.130366, -106.346771)"
"Toyota Motor Corporation","19290","Japan","2011","7203 JP","JP3633400001","73","D",,"Public","AQ*","12792000","24265000","(36.204824, 138.252924)"
"Saint-Gobain","16151","France","2011","SGO FP","FR0000125007","94","A-",,"Public","AQ*","13800000","4900000","(46.227638, 2.213749)"
"Bank of Nova Scotia (Scotiabank)","1470","Canada","2011","BNS CN","CA0641491075","54","D",,"Public","AQ*","17560","68802","(56.130366, -106.346771)"
"Northrop Grumman Corp","13488","USA","2011","NOC US","US6668071029","80","C",,"Public","AQ*","323050","938599.69","(37.09024, -95.712891)"
"Tenaris S.A.","22531","Luxembourg","2011","TEN IM","LU0156801721",,,,,"NR",,,"(49.815273, 6.129583)"
"Arcelor Mittal","904","Luxembourg","2011","MT NA","LU0323134006","34",,,"Public","AQ*","165226000","19599000","(49.815273, 6.129583)"
"Johnson & Johnson","9829","USA","2011","JNJ US","US4781601046","78","C",,"Public","AQ*","345723","934081","(37.09024, -95.712891)"
"Larsen & Toubro","10484","India","2011","LT IN","INE018A01030","69","C",,"Public","AQ*","288045","106275","(20.593684, 78.96288)"
"Gazprom Neft JSC","7043","Russia","2011","SIBNS RU","RU0009062467",,,"Gazprom OAO",,"NR",,,"(61.52401, 105.318756)"
"U.S. Bancorp","19593","USA","2011","USB US","US9029733048","70","C",,"Public","AQ*","40445","370934","(37.09024, -95.712891)"
"Hyundai Heavy Industries","8697","South Korea","2011","009540 KS","KR7009540006",,,,"Not public","DP",,,"(35.907757, 127.766922)"
"Nissan Motor Co., Ltd.","13363","Japan","2011","7201 JP","JP3672400003","72","C",,"Public","AQ*","972804","1894354","(36.204824, 138.252924)"
"Rogers Communications Inc.","15916","Canada","2011","RCI/B CN","CA7751092007","60","D",,"Public","AQ*","38861","133288","(56.130366, -106.346771)"
"Anadarko Petroleum Corporation","745","USA","2011","APC US","US0325111070","75","B",,"Public","AQ*","7872285","898589","(37.09024, -95.712891)"
"Eli Lilly & Co.","5377","USA","2011","LLY US","US5324571083","61","C",,"Public","AQ*","454521","1167098","(37.09024, -95.712891)"
"Potash Corporation of Saskatchewan Inc.","14943","Canada","2011","POT CN","CA73755L1076","63","D",,"Public","AQ*","8714700","1600000","(56.130366, -106.346771)"
"Ford Motor Company","6595","USA","2011","F US","US3453708600","46",,,"Public","AQ*","1602246","3666231","(37.09024, -95.712891)"
"Apple Inc.","865","USA","2011","AAPL US","US0378331005",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"CSX Corporation","4120","USA","2011","CSX US","US1264081035","85","A",,"Public","AQ*","5214546","260874","(37.09024, -95.712891)"
"BOC Hong Kong","1957","Hong Kong","2011","2388 HK","HK2388011192",,,,"Not public","DP",,,"(22.396428, 114.109497)"
"Wharf Holdings","20608","Hong Kong","2011","4 HK","HK0004000045",,,,,"NR",,,"(22.396428, 114.109497)"
"Hyundai Mobis","8713","South Korea","2011","012330 KS","KR7012330007","64","D",,"Public","AQ*","42351","290103","(35.907757, 127.766922)"
"Nintendo Co., Ltd.","13302","Japan","2011","7974 JT","JP3756600007",,,,"Not public","DP",,,"(36.204824, 138.252924)"
"State Street Corporation","17690","USA","2011","STT US","US8574771031","84","B",,"Public","AQ*","5683","141071","(37.09024, -95.712891)"
"Caterpillar Inc.","2918","USA","2011","CAT US","US1491231015","58","D",,"Public","AQ*","831000","1820000","(37.09024, -95.712891)"
"Occidental Petroleum Corporation","13649","USA","2011","OXY US","US6745991058","57","C",,"Public","AQ*","11200000","6600000","(37.09024, -95.712891)"
"TD Bank Group","19241","Canada","2011","TD CN","CA8911605092","60","C",,"Public","AQ*","42464","153716","(56.130366, -106.346771)"
"Lukoil","11043","Russia","2011","LKOH RU","RU0009024277",,,,,"NR",,,"(61.52401, 105.318756)"
"GlaxoSmithKline","7374","United Kingdom","2011","GSK LN","GB0009252882","93","A",,"Public","AQ*","1001746","1005969","(55.378051, -3.435973)"
"NextEra Energy, Inc.","6672","USA","2011","NEE US","US65339F1012",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"Deere & Company","4365","USA","2011","DE US","US2441991054","63","C",,"Public","AQ*","455171","881473","(37.09024, -95.712891)"
"Goldcorp Inc.","7582","Canada","2011","G CN","CA3809564097","51","D",,"Public","AQ*","596767","597729","(56.130366, -106.346771)"
"Thomson Reuters Corporation","19075","USA","2011","TRI US","CA8849031056","63","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Express Scripts Holding Company","11623","USA","2011","MHS US","US58405U1025","55","E",,"Public","AQ*","5914","81297","(37.09024, -95.712891)"
"Prudential PLC","15283","United Kingdom","2011","PRU LN","GB0007099541","58","E",,"Public","AQ*","14839","93260","(55.378051, -3.435973)"
"Belle International","1657","Hong Kong","2011","1880 HK","KYG097021045",,,,,"NR",,,"(22.396428, 114.109497)"
"Airbus Group","21770","Netherlands","2011","AIR FP","NL0000235190","52","D",,"Public","AQ*",,,"(52.132633, 5.291266)"
"Sasol Limited","16366","South Africa","2011","SOL SJ","ZAE000006896","79","C",,"Public","AQ*","64166000","10815000","(-30.559482, 22.937506)"
"TJX Companies, Inc.","19145","USA","2011","TJX US","US8725401090","82","C",,"Public","AQ*","64250","698160","(37.09024, -95.712891)"
"Cognizant Technology Solutions Corp.","3588","USA","2011","CTSH US","US1924461023","68","C",,"Public","AQ*","28647","147288","(37.09024, -95.712891)"
"NetApp Inc.","13024","USA","2011","NTAP US","US64110D1046","59","E",,"Public","AQ*","8082","88238","(37.09024, -95.712891)"
"The Southern Company","18951","USA","2011","SO US","US8425871071","52","D",,"Public","AQ*","132000000",,"(37.09024, -95.712891)"
"Tata Consultancy Services","18287","India","2011","TCS IN","INE467B01029","86","C",,"Public","AQ*","33064","269620","(20.593684, 78.96288)"
"PG&E Corporation","14678","USA","2011","PCG US","US69331C1080","92","B",,"Public","AQ*","3218256","997983","(37.09024, -95.712891)"
"Las Vegas Sands Corporation","10494","USA","2011","LVS US","US5178341070",,,,,"NR",,,"(37.09024, -95.712891)"
"Ambev - Cia de Bebidas das Américas","667","Brazil","2011","AMBV4 BZ","BRAMBVACNPR1","69","C",,"Public","AQ*","865202","183240","(-14.235004, -51.92528)"
"Reckitt Benckiser","15591","United Kingdom","2011","RB/ LN","GB00B24CGK77","81","B",,"Public","AQ*","104813","185774","(55.378051, -3.435973)"
"Carrefour","2880","France","2011","CA FP","FR0000120172","75","B",,"Public","AQ*","2155000","2151000","(46.227638, 2.213749)"
"Infosys Limited","9080","India","2011","INFO IN","INE009A01021","66","D",,"Not public","AQ*",,,"(20.593684, 78.96288)"
"Exxon Mobil Corporation","6136","USA","2011","XOM US","US30231G1022","70","B",,"Public","AQ*","132000000","15000000","(37.09024, -95.712891)"
"DIRECTV","4773","USA","2011","DTV US","US25490A3095",,,,,"NR",,,"(37.09024, -95.712891)"
"Shinhan Financial Group","16891","South Korea","2011","055550 KS","KR7055550008","73","C",,"Public","AQ*","4298","33939","(35.907757, 127.766922)"
"CVS Caremark Corporation","4151","USA","2011","CVS US","US1266501006","67","D",,"Public","AQ*","220888","1545951","(37.09024, -95.712891)"
"Munich Re","12611","Germany","2011","MUV2 GR","DE0008430026","79","A-",,"Public","AQ*","69621","146967","(51.165691, 10.451526)"
"Japan Tobacco Inc.","9712","Japan","2011","2914 JP","JP3726800000","41",,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"NTT DOCOMO, INC.","13575","Japan","2011","9437 JP","JP3165650007","54","D",,"Public","AQ*","87161","1123247","(36.204824, 138.252924)"
"EOG Resources, Inc.","5767","USA","2011","EOG US","US26875P1012",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"East Japan Railway Company","5145","Japan","2011","9020 JP","JP3783600004","43",,,"Public","AQ*","210000","2330000","(36.204824, 138.252924)"
"Volkswagen AG","20309","Germany","2011","VOW3 GR","DE0007664039","91","B",,"Public","AQ*","1287439","6307489","(51.165691, 10.451526)"
"Texas Instruments Incorporated","18640","USA","2011","TXN US","US8825081040","52","E",,"Public","AQ*","831460","1125452","(37.09024, -95.712891)"
"SABMiller","16101","United Kingdom","2011","SAB LN","GB0004835483","63","C",,"Public","AQ*","1144900.89","1208966.66","(55.378051, -3.435973)"
"Astra International","1053","Indonesia","2011","ASII IJ","ID1000122807",,,,"Not public","AQ*",,,"(-0.789275, 113.921327)"
"Bank of Montreal","1417","Canada","2011","BMO CN","CA0636711016","88","A",,"Public","AQ*","16545.66","48362.21","(56.130366, -106.346771)"
"Becton, Dickinson and Co.","1639","USA","2011","BDX US","US0758871091","43",,,"Public","AQ*","61975","468149","(37.09024, -95.712891)"
"Israel Chemicals","22340","Israel","2011","ICL IT","IL0002810146","90","B",,"Public","AQ*","1857777","1022840","(31.046051, 34.851612)"
"Mitsubishi Estate Co., Ltd.","12145","Japan","2011","8802 JP","JP3899600005","24",,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Telenor Group","18435","Norway","2011","TEL NO","NO0010063308","72","C",,"Public","AQ*","344881","714463","(60.472024, 8.468946)"
"Cisco Systems, Inc.","3329","USA","2011","CSCO US","US17275R1023","98","A",,"Public","AQ*","53363","597257","(37.09024, -95.712891)"
"Archer Daniels Midland","912","USA","2011","ADM US","US0394831020",,,,,"NR",,,"(37.09024, -95.712891)"
"Mitsubishi Corporation","12112","Japan","2011","8058 JP","JP3898400001","73","C",,"Public","AQ*","3205957","1910459","(36.204824, 138.252924)"
"Stryker Corporation","17815","USA","2011","SYK US","US8636671013",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"Berkshire Hathaway","1718","USA","2011","BRK/B US","US0846707026",,,,,"NR",,,"(37.09024, -95.712891)"
"Sony Corporation","17367","Japan","2011","6758 JP","JP3435000009","94","A",,"Public","AQ*","361183","1283543","(36.204824, 138.252924)"
"Baker Hughes Incorporated","1356","USA","2011","BHI US","US0572241075","67","D",,"Public","AQ*","300000","300000","(37.09024, -95.712891)"
"Hang Seng Bank","8057","Hong Kong","2011","11 HK","HK0011000095","51","D","HSBC Holdings plc","Public","AQ*",,"23965.79","(22.396428, 114.109497)"
"Johnson Controls","9831","USA","2011","JCI US","US4783661071","83","B",,"Public","AQ*","562223","1349406","(37.09024, -95.712891)"
"Baxter International Inc.","1574","USA","2011","BAX US","US0718131099","74","C",,"Public","AQ*","339720","461280","(37.09024, -95.712891)"
"Deutsche Post AG","4663","Germany","2011","DPW GR","DE0005552004","99","A-",,"Public","AQ*","5300000","1000000","(51.165691, 10.451526)"
"Sberbank Rossii","16386","Russia","2011","SBER RM","RU0009029540",,,,,"NR",,,"(61.52401, 105.318756)"
"Pernod Ricard","14562","France","2011","RI FP","FR0000120693","66","C",,"Public","AQ*","260918","97758","(46.227638, 2.213749)"
"Abbott Laboratories","64","USA","2011","ABT US","US0028241000","72","C",,"Public","AQ*","838000","771000","(37.09024, -95.712891)"
"Roche Holding AG","15841","Switzerland","2011","ROG VX","CH0012032048","66","C",,"Public","AQ*","454010","411985","(46.818188, 8.227512)"
"Morgan Stanley","12406","USA","2011","MS US","US6174464486","87","A",,"Public","AQ*","14322","344751","(37.09024, -95.712891)"
"Costco Wholesale Corporation","3944","USA","2011","COST US","US22160K1051","49",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"CEZ","3082","Czech Republic","2011","CEZ CP","CZ0005112300","39",,,"Public","AQ*","38845671",,"(49.817492, 15.472962)"
"China Overseas Land & Investment","3235","China","2011","688 HK","HK0688002218",,,,,"NR",,,"(35.86166, 104.195397)"
"Dominion Resources, Inc.","4832","USA","2011","D US","US25746U1097","69","D",,"Public","AQ*","59004018","349938","(37.09024, -95.712891)"
"Vale","20050","Brazil","2011","VALE3 BZ","BRVALEACNOR0","93","B",,"Public","AQ*","18711050.35","1282372.68","(-14.235004, -51.92528)"
"Precision Castparts Corp.","15040","USA","2011","PCP US","US7401891053",,,,,"NR",,,"(37.09024, -95.712891)"
"Assicurazioni Generali Spa","1076","Italy","2011","G IM","IT0000062072","68","C",,"Public","AQ*","12506.2","53239.3","(41.87194, 12.56738)"
"National Oilwell Varco, Inc.","12843","USA","2011","NOV US","US6370711011",,,,,"NR",,,"(37.09024, -95.712891)"
"UniCredit","19794","Italy","2011","UCG IM","IT0004781412","70","D",,"Public","AQ*","100100","369450","(41.87194, 12.56738)"
"Swisscom","18124","Switzerland","2011","SCMN VX","CH0008742519","85","B",,"Public","AQ*","25422","5655","(46.818188, 8.227512)"
"Oracle Corporation","14013","USA","2011","ORCL US","US68389X1054","54","E",,"Public","AQ*","15208","433523","(37.09024, -95.712891)"
"TransCanada Corporation","19304","Canada","2011","TRP CN","CA89353D1078","24","E",,"Public","AQ*",,,"(56.130366, -106.346771)"
"Inpex Corporation","9134","Japan","2011","1605 JP","JP3294460005","62","C",,"Public","AQ*","396091","15904","(36.204824, 138.252924)"
"Sandvik AB","16277","Sweden","2011","SAND SS","SE0000667891","54","E",,"Not public","AQ*",,,"(60.128161, 18.643501)"
"Air Liquide","432","France","2011","AI FP","FR0000120073","87","B",,"Public","AQ*","10181000","9294000","(46.227638, 2.213749)"
"Merck & Co., Inc.","11765","USA","2011","MRK US","US58933Y1055","79","B",,"Public","AQ*","1046881","1028780","(37.09024, -95.712891)"
"Malayan Banking","11289","Malaysia","2011","MAY MK","MYL1155OO000","37",,,"Not public","AQ*",,,"(4.210484, 101.975766)"
"BYD","22346","China","2011","1211 HK","CNE100000296","35",,,"Public","AQ*","1217668",,"(35.86166, 104.195397)"
"China Telecom","3244","China","2011","728 HK","CNE1000002V2",,,,"Not public","IN",,,"(35.86166, 104.195397)"
"Kellogg Company","10056","USA","2011","K US","US4878361082","85","B",,"Public","AQ*","580482","762927","(37.09024, -95.712891)"
"Hewlett-Packard","23195","USA","2011","HPQ US","US4282361033","84","B",,"Public","AQ*","136660","1728510","(37.09024, -95.712891)"
"Zurich Insurance Group","21064","Switzerland","2011","ZURN VX","CH0011075394","63","D",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Automatic Data Processing, Inc.","1203","USA","2011","ADP US","US0530151036","25",,,"Public","AQ*","18000","155000","(37.09024, -95.712891)"
"Enbridge Inc.","5581","Canada","2011","ENB CN","CA29250N1050","61","C",,"Public","AQ*","1733000","2865000","(56.130366, -106.346771)"
"UPS","19898","USA","2011","UPS US","US9113121068","99","A-",,"Public","AQ*","11712803","917695","(37.09024, -95.712891)"
"Surgutneftegas","18032","Russia","2011","SNGSP RM","RU0009029524",,,,,"NR",,,"(61.52401, 105.318756)"
"Royal Bank of Scotland Group","15949","United Kingdom","2011","RBS LN","GB00B7T77214","91","B",,"Public","AQ*","84290.7","624034.05","(55.378051, -3.435973)"
"AngloGold Ashanti","779","South Africa","2011","ANG SJ","ZAE000043485","74","C",,"Public","AQ*","1215000","3482000","(-30.559482, 22.937506)"
"Freeport-McMoRan Copper & Gold Inc.","23228","USA","2011","FCX US","US35671D8570","87","C",,"Public","AQ*","5622379","4363371","(37.09024, -95.712891)"
"Orange","6764","France","2011","ORA FP","FR0000133308","63","E",,"Public","AQ*","405758","1061923","(46.227638, 2.213749)"
"Waste Management, Inc.","20515","USA","2011","WM US","US94106L1098","61","C",,"Public","AQ*","24531046","201800","(37.09024, -95.712891)"
