facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1003188,3M BROWNWOOD,36879.412,326113.0,TX,31.671177,-98.996513,2010,3M CO,100.0,3M CO,MMM
1005043,3M CO,75803.06,541712.0,MN,44.951,-92.9959,2010,3M CO,100.0,3M CO,MMM
1003739,3M CO - GUIN,28749.996,326113.0,AL,33.96672,-87.899855,2010,3M CO,100.0,3M CO,MMM
1007698,3M CO - WAUSAU DOWNTOWN,26048.552,212313.0,WI,44.95018,-89.63766,2010,3M CO,100.0,3M CO,MMM
1004206,3M COMPANY,50947.456,325211.0,AL,34.641667,-87.038611,2010,3M CO,100.0,3M CO,MMM
1006665,3M CORDOVA,28987.888,325998.0,IL,41.755,-90.284167,2010,3M CO,100.0,3M CO,MMM
1004836,3M Cottage Grove Center - Site,44522.608,325998.0,MN,44.789444,-92.908333,2010,3M CO,100.0,3M CO,MMM
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,28192.044,333120.0,AR,34.708919,-92.239492,2010,3M CO,100.0,3M CO,MMM
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,40696.996,322222.0,MN,44.879677,-94.359598,2010,3M CO,100.0,3M CO,MMM
1004804,3M NEVADA PLANT,29570.988,326113.0,MO,37.83442,-94.330397,2010,3M CO,100.0,3M CO,MMM
1000766,59th Street,271673.922,221330.0,NY,40.7711,-73.9911,2010,CONSOLIDATED EDISON INC,100.0,CONSOLIDATED EDISON INC,ED
1000767,74th Street,387617.228,221330.0,NY,40.768,-73.9515,2010,CONSOLIDATED EDISON INC,100.0,CONSOLIDATED EDISON INC,ED
1001033,A B Brown Generating Station,2188497.224,221112.0,IN,37.9053,-87.715,2010,CENTERPOINT ENERGY INC,100.0,CENTERPOINT ENERGY INC,CNP
1002983,ABBOTT PARK FACILITY,105472.708,325412.0,IL,42.30227,-87.89065,2010,ABBOTT LABORATORIES,100.0,ABBOTT LABORATORIES,ABT
1007514,ABBVIE LTD.,117314.526,325411.0,PR,18.433237,-66.570509,2010,ABBVIE INC,100.0,ABBVIE INC,ABBV
1005601,ACME BRICK CO ELGIN PLANT,27547.0,327121.0,TX,30.32903,-97.29207,2010,BERKSHIRE HATHAWAY INC,100.0,BERKSHIRE HATHAWAY INC,BRK.B
1002154,ADM - MANKATO,132818.334,311225.0,MN,44.186805,-93.995493,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1006047,ADM CORN PROCESSING,3078133.058,311221.0,IA,41.928594,-91.687203,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1006208,ADM CORN PROCESSING,1510150.892,311221.0,IA,41.818117,-90.214731,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1000034,ADM MILLING COMPANY,141764.544,311222.0,IA,41.626329,-93.583205,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1000376,ADM QUINCY,186738.51,311222.0,IL,39.90565,-91.41015,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1006080,ADM SOUTHERN CELLULOSE PROD.IN,28791.592,322110.0,TN,34.997921,-85.318581,2010,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND CO,ADM
1001991,ADRIAN LANDFILL,75991.0,562212.0,MI,41.890683,-83.992445,2010,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES INC,RSG
1001633,ADS-CEDAR HILL LANDFILL,97335.0,562212.0,AL,33.676247,-86.25444,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1001636,ADS-PECAN ROW-EVERGREEN LANDFILLS,309107.5,562212.0,GA,30.81425,-83.35981,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1006790,ADS-STAR RIDGE LANDFILL,63017.5,562212.0,AL,33.605845,-86.5201,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1002094,ADS/MCLEAN COUNTY LANDFILL,17136.3,562212.0,IL,40.47046,-89.0377,2010,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES INC,RSG
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,25777.95,562212.0,WI,44.4093,-89.854855,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",95655.0,562212.0,MO,39.7318,-92.53866,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1006979,ADVANCED DISPOSAL OAK RIDGE LANDFILL,29895.0,562212.0,MO,38.549361,-90.530806,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,186317.8,562212.0,IL,42.14,-89.085,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,51653.7,562212.0,IL,39.822232,-89.043692,2010,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT INC,WM
1005310,AES - PUERTO RICO COGENERATION PLANT,3284053.384,221112.0,PR,17.9451,-66.1503,2010,AES CORP,100.0,AES CORP,AES
1001444,AES Alamitos,540112.6,221112.0,CA,33.7688,-118.1009,2010,AES CORP,100.0,AES CORP,AES
1001447,AES Huntington Beach,572232.328,221112.0,CA,33.6436,-117.9788,2010,AES CORP,100.0,AES CORP,AES
1001450,AES Redondo Beach,93265.704,221112.0,CA,33.8504,-118.395,2010,AES CORP,100.0,AES CORP,AES
1001223,AES Warrior Run,1426541.518,221112.0,MD,39.5944,-78.7456,2010,AES CORP,100.0,AES CORP,AES
1003013,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,723018.0,325120.0,LA,30.237363,-93.285908,2010,AIR PRODUCTS & CHEMICALS INC,100.0,AIR PRODUCTS & CHEMICALS INC,APD
